220600,白山市,baishan.zip,20150427,1700759,2515758,2d6290e825d5e6b24c1bdba819678d89
220700,松原市,songyuan.zip,20150427,2571695,3834780,6a8381a9aca205f35c064761fe80f25c
220800,白城市,baicheng.zip,20150427,2231380,3339888,57c0ac28f1fbd53b3326c5f04af04423
222400,延边朝鲜族自治州,yanbian.zip,20150427,2594650,3889465,f5fdee0ec1ff82b72e7d43a56b627b7b
230100,哈尔滨市,haerbin.zip,20150427,14826461,21101592,c24a4aad691e2068caebfd8436e1a57e
230200,齐齐哈尔市,qiqihaer.zip,20150427,4099914,6010457,e8727953d64409542b35175f6655a4de
230300,鸡西市,jixi.zip,20150427,1367957,2032756,bfad9c1f879ef4da30eded70ba86ae65
230400,鹤岗市,hegang.zip,20150427,1112332,1674605,c3e126f4999cef8f53443d1cbe393e70
230500,双鸭山市,shuangyashan.zip,20150427,1130292,1704931,e6e11b28e7044eb7a7ab53bd30f9c4da
230600,大庆市,daqing.zip,20150427,3935403,5873192,90f4ebbf07d6d7cd9ce32dad255675fc
230700,伊春市,yichun1.zip,20150427,1119666,1696919,4da7346320d18a98ab15359566f5d541
230800,佳木斯市,jiamusi.zip,20150427,2808395,4208918,8fdebae962ed05153bf6472121e785c3
230900,七台河市,qitaihe.zip,20150427,685728,1032533,e1f8c214793a62fc423cdd3bcfb3bd97
231000,牡丹江市,mudanjiang.zip,20150427,2773987,4130764,8012927b8391543efc4d47602a2adb9d
231100,黑河市,heihe.zip,20150427,1782940,2684017,6c0bd6dff9133c79687276456e28d401
231200,绥化市,suihua.zip,20150427,2581436,3881394,51c9f60a9a182a6ccaec794fe35bbdae
232700,大兴安岭地区,daxinganling.zip,20150427,603822,949768,daa52bafa9af6852daea14aeb276ae2f
310000,上海市,shanghai.zip,20150427,49070559,67554104,dbcbdf09644d2e6801171105dd9b2a34
320100,南京市,nanjing.zip,20150427,23118294,33339751,0e0315d8ca024be0860cdc235f0df74f
320200,无锡市,wuxi.zip,20150427,17887718,25667343,af62579231f3c48c254133732b918d01
320300,徐州市,xuzhou.zip,20150427,12015336,17448503,9b77993712a4575b658d11d58555c477
320400,常州市,changzhou.zip,20150427,14112789,20042821,95f7e63ecb9dcc74c8ca931a60ebd002
320500,苏州市,suzhou.zip,20150427,21740683,30380979,e2dcb20927bb3fccc478b33f8979c2ed
320600,南通市,nantong.zip,20150427,10761467,15537418,38323bc54cf7ccdd0f906bf44cb54f27
320700,连云港市,lianyungang.zip,20150427,6494467,9394678,f51cbfe6d39663c8bcf8bf97e14c5f0e
320800,淮安市,huaian.zip,20150427,6408757,9385550,ef0e493ae21895354d980879c8ae8230
320900,盐城市,yancheng.zip,20150427,9238559,13314236,36dcd4d3a959f70638f044ff9ff82917
321000,扬州市,yangzhou.zip,20150427,9351033,13414254,455103f4dddd3154f9109b5ced3ac6f2
321100,镇江市,zhenjiang.zip,20150427,5727270,8233933,5163655dab1139e3d2ff2f076e15868d
